date;time;corrosion;replicate;mussel_no;temp;mod_temp;ref.pic;notes
22/08/2023;55;corroded;2;2;40,9;40,9;M2;
22/08/2023;55;corroded;2;3;40,9;40,9;M3;
22/08/2023;55;corroded;2;4;41,8;41,8;M4;
22/08/2023;55;corroded;2;5;40,9;40,9;M5;
22/08/2023;55;corroded;3;1;43,4;43,4;M1;
22/08/2023;55;corroded;3;2;42,5;42,5;M2;
22/08/2023;55;corroded;3;3;42;42;M3;
22/08/2023;55;corroded;3;4;43,6;43,6;M4;
22/08/2023;55;corroded;3;5;41,1;41,1;M5;
22/08/2023;55;non corroded;1;1;45,7;45,7;M1;
22/08/2023;55;non corroded;1;2;44,2;44,2;M2;
22/08/2023;55;non corroded;1;3;46,2;46,2;M3;
22/08/2023;55;non corroded;1;4;45,5;45,5;M4;
22/08/2023;55;non corroded;1;5;44,9;44,9;M5;
22/08/2023;55;non corroded;2;1;45;45;M1;
22/08/2023;55;non corroded;2;2;44,8;44,8;M2;
22/08/2023;55;non corroded;2;3;43,8;43,8;M3;
22/08/2023;55;non corroded;2;4;44,4;44,4;M4;
22/08/2023;55;non corroded;2;5;45;45;M5;
22/08/2023;55;non corroded;3;1;46,9;46,9;M1;
22/08/2023;55;non corroded;3;2;47,8;47,8;M2;
22/08/2023;55;non corroded;3;3;46,9;46,9;M3;
22/08/2023;55;non corroded;3;4;46,1;46,1;M4;
22/08/2023;55;non corroded;3;5;45,6;45,6;M5;
22/08/2023;60;corroded;1;1;63,3;43,3;M1;harsh increase in temperature
22/08/2023;60;corroded;1;2;57,8;37,8;M2;harsh increase in temperature
22/08/2023;60;corroded;1;3;58,6;38,6;M3;harsh increase in temperature
22/08/2023;60;corroded;1;4;58,2;38,2;M4;harsh increase in temperature
22/08/2023;60;corroded;1;5;59,5;39,5;M5;harsh increase in temperature
22/08/2023;60;corroded;2;1;41,8;41,8;M1;
22/08/2023;60;corroded;2;2;42,8;42,8;M2;
22/08/2023;60;corroded;2;3;40,3;40,3;M3;
22/08/2023;60;corroded;2;4;42,7;42,7;M4;
22/08/2023;60;corroded;2;5;42;42;M5;
